symbol,year,agent,source,unit,unit_header_text,l1_ok,gp_ok,confidence,rotated,rotation_fixed,bs_page,pl_page,pdf_id,notes
ARM,2014,wave2_5,pdf,full-rupees,Rupees,True,True,high,False,,58,59,ARM_Q4_2014,Modaraba. Sales = Gross revenue (Ijarah rentals + O&M income + profit on Ijarah finance); COGS = ope
ARM,2015,wave2_5,pdf,full-rupees,Rupees,True,True,high,False,,61,62,ARM_Q4_2015,"Sales = gross revenue (Ijarah rentals 2,603,938,444 + O&M income 95,487,861); COGS = operating expen"
AWWAL,2020,wave2_5,pdf,full-rupees,Rupees,True,,high,False,,28,29,153967,"Modaraba - no sales/COGS; income from advisory fee, Musharika/Diminishing Musharika finance. PPE = o"
AWWAL,2021,wave2_5,pdf,full-rupees,Rupees,True,,high,False,,24,25,172204,"Modaraba - no sales/COGS/GP. PPE = operating fixed assets 184,519 (derived: NCA subtotal 200,637,960"
HINO,2014,wave2_5,pdf,thousands,Rupees '000,True,True,high,False,,24,24,HINO-ANNUAL-2014,"FY ends March 31. Unit '000. Eq includes surplus on revaluation of fixed assets 1,249,576. GP check:"
MUGHAL,2020,wave2_5,pdf,full-rupees,Rupees,True,True,high,False,,114,115,153721,"GP check: 27,304,991,323-24,687,542,736=2,617,448,587 OK. Taxation credit 39,145,070 (as printed, po"
MUGHAL,2021,wave2_5,pdf,full-rupees,Rupees,True,True,high,False,,94,95,173298,"GP check: 44,971,836,150-38,280,467,988=6,691,368,162 OK. Sales - net."
NCML,2014,wave2_5,pdf,full-rupees,Rupees,True,True,high,False,,18,19,NCML_Q4_2014,Two-column presentation (Book Value vs Estimated realizable/settlement value) - BOOK VALUE column us
PAKMI,2014,wave2_5,pdf,full-rupees,Rupees,True,,high,False,,19,20,PAKMI_Q4_2014,"Modaraba - no sales/COGS/GP. PPE = property & equipment owned 106,164 (Ijarah nil in 2014). Scanned "
PAKMI,2015,wave2_5,pdf,full-rupees,Rupees,True,,high,False,,19,20,PAKMI_Q4_2015,"Modaraba - no sales/COGS/GP. PPE = property & equipment owned 72,901 (Ijarah nil). Scanned report re"
PAKMI,2017,wave2_5,pdf,full-rupees,Rupees,True,,high,False,,13,13,PAKMI_Q4_2017,"Modaraba (financial institution) - no sales/COGS/gross profit; income from PLS accounts, Diminishing"
PAKMI,2018,wave2_5,pdf,full-rupees,Rupees,True,,high,False,,21,22,119072,"Modaraba - no sales/COGS/GP. PPE = Ijarah 20,672,913 + owned 600,012 (CWIP nil); verified against NC"
PAKMI,2022,wave2_5,pdf,full-rupees,Rupees,True,,high,False,,25,26,195760,"Modaraba - no sales/COGS/GP. PPE = Ijarah assets 5,876,739 + fixed assets own use 69,456. PAT=1,635,"
PSEL,2013,wave2_5,pdf,thousands,Rupees '000,True,True,high,False,,46,48,PSEL-ANNUAL-2013,"GP check: 6,801,170-3,853,039=2,948,131 OK. BS assets on p47, liabilities on p46 (bs_page=46). Inven"
PSEL,2014,wave2_5,pdf,thousands,Rupees '000,True,True,high,False,,42,44,PSEL-ANNUAL-2014,"GP check: 7,609,885-4,251,249=3,358,636 OK. BS assets p43, liabilities p42. Inventory = stock in tra"
PSEL,2015,wave2_5,pdf,thousands,Rupees '000,True,True,high,False,,50,52,PSEL-ANNUAL-2015,"GP check: 7,922,016-4,288,554=3,633,462 OK. BS assets p51, liabilities p50. Inventory = stock in tra"
SBL,2013,wave2_5,pdf,thousands,Rupees in '000,True,,high,False,,18,19,SBL-ANNUAL-2013,"Bank - no sales/COGS/GP, no inventory, no standard CA/CL split. cash = cash and balances with treasu"
SBL,2014,wave2_5,pdf,thousands,Rupees in '000,True,,high,False,,17,17,SBL-ANNUAL-2014,"Bank - no sales/COGS/GP/inventory/CA-CL split. cash = treasury banks 2,525,366 + other banks 79,761."
SBL,2015,wave2_5,pdf,thousands,Rupees in '000,True,,high,False,,34,35,SBL-ANNUAL-2015,"Bank - no sales/COGS/GP/inventory/CA-CL split. cash = treasury banks 3,258,421 + other banks 1,071,1"
SBL,2016,wave2_5,pdf,thousands,Rupees in '000,True,,high,False,,44,45,SBL-ANNUAL-2016,"Bank - no sales/COGS/GP/inventory/CA-CL split. cash = treasury banks 4,723,664 + other banks 816,421"
SBL,2020,wave2_5,pdf,thousands,Rupees in '000,True,,high,False,,35,36,163049,"Bank - no sales/COGS/GP/inventory/CA-CL split. cash = treasury banks 7,422,652 + other banks 1,396,1"
SHEL,2018,wave2_5,pdf,thousands,Rupees '000,True,True,high,False,,31,31,128112,"Sales recorded as NET revenue 186,203,555 (gross sales 214,211,920 less sales tax 28,949,456) so GP "
SILK,2013,wave2_5,pdf,thousands,Rupees in '000,True,,high,False,,70,71,SILK-ANNUAL-2013,"Bank - no sales/COGS/GP/inventory/CA-CL split. cash = treasury banks 5,361,695 + other banks 226,184"
SILK,2021,wave2_5,pdf,thousands,Rupees in '000,True,,high,False,,53,54,242952,"Bank - no sales/COGS/GP/inventory/CA-CL split. cash = treasury banks 12,224,513 + other banks 547,55"
