symbol,year,layer,field,vlm_value,ref_value,detail,resolution
FECTC,2022,L2.5,total_assets,6950254,6033007.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
FECTC,2023,L2.5,total_assets,7326479.0,6950254.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
FEM,2023,L3,TA,578845.529,2968793.131,YoY x0.2,
FEM,2024,L2,cash,16545.521,19604.75,prior-year overlap,
FEROZ,2014,L4,current_assets,1785755764,2114594.0,vs opendoors,
FEROZ,2014,L4,current_liabilities,391825313,523698.0,vs opendoors,
FEROZ,2014,L4,net_income,417528234,552164.0,vs opendoors,
FEROZ,2014,L4,revenue,2534928325,3831560.0,vs opendoors,
FEROZ,2014,L4,total_assets,3153033903,3756622.0,vs opendoors,
FEROZ,2015,L4,current_assets,2855596419,3474428.0,vs opendoors,
FEROZ,2015,L4,current_liabilities,1274551128,1456428.0,vs opendoors,
FEROZ,2015,L4,net_income,748590707,943788.0,vs opendoors,
FEROZ,2015,L4,revenue,4433552219,5705869.0,vs opendoors,
FEROZ,2015,L4,total_assets,4389037386,5225594.0,vs opendoors,
FEROZ,2017,L4,current_assets,2920785570,3744678.0,vs opendoors,
FEROZ,2017,L4,current_liabilities,767251060.0,876433.0,vs opendoors,
FEROZ,2017,L4,net_income,393664710.0,394604.0,vs opendoors,
FEROZ,2017,L4,total_assets,5777444573,6841154.0,vs opendoors,
FEROZ,2018,L4,current_assets,3008809690,3800737.0,vs opendoors,
FEROZ,2018,L4,current_liabilities,972205604,1143390.0,vs opendoors,
FEROZ,2018,L4,net_income,95405804.0,-17011.0,vs opendoors,
FEROZ,2018,L4,revenue,4459323228.0,5057119.0,vs opendoors,
FEROZ,2018,L4,total_assets,5964906853,6968418.0,vs opendoors,
FEROZ,2019,L4,current_assets,3159607149,3986950.0,vs opendoors,
FEROZ,2019,L4,current_liabilities,1183343629.0,1248668.0,vs opendoors,
FEROZ,2019,L4,net_income,251045682.0,187995.0,vs opendoors,
FEROZ,2019,L4,revenue,5180803582.0,5802856.0,vs opendoors,
FEROZ,2019,L4,total_assets,6202846877,7104375.0,vs opendoors,
FEROZ,2020,L4,current_assets,3870693481,4877471.0,vs opendoors,
FEROZ,2020,L4,current_liabilities,1527517470,1793070.0,vs opendoors,
FEROZ,2020,L4,net_income,395655081,422579.0,vs opendoors,
FEROZ,2020,L4,revenue,5394043009,6191816.0,vs opendoors,
FEROZ,2020,L4,total_assets,7524602251,8967472.0,vs opendoors,
FEROZ,2020,L5,cost_of_sales,-3176088959,1.3,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2020,L5,current_assets,3870693481,22.5,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2020,L5,current_liabilities,1527517470,40.6,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2020,L5,gross_profit,2217954050,8.4,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2020,L5,net_income,395655081,57.6,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2020,L5,total_assets,7524602251,21.3,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2021,L5,cost_of_sales,-4146678936,30.6,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2021,L5,gross_profit,2886942650,29.7,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2021,L5,net_income,725235258,83.3,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2022,L5,cost_of_sales,-4288798744,3.4,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2022,L5,gross_profit,3517615571,21.8,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2022,L5,net_income,514148873,-29.1,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2023,L5,cost_of_sales,-6071103751,41.6,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2023,L5,gross_profit,3822287171,8.7,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2023,L5,net_income,189042471,-63.2,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2024,L5,cost_of_sales,-7769628444,28.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2024,L5,current_assets,9783204433,16.9,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2024,L5,current_liabilities,6084929369,13.7,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2024,L5,gross_profit,4942085652,29.3,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2024,L5,net_income,400054277,111.6,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2024,L5,total_assets,21749621603,40.4,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2025,L5,cost_of_sales,-8138776842,4.8,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2025,L5,current_assets,3486146183,11.8,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2025,L5,current_liabilities,6652113810,8.3,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2025,L5,gross_profit,5719190097,15.7,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2025,L5,net_income,528248837,32.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FEROZ,2025,L5,total_assets,24604947452,4.4,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FFBL,2020,L5,current_assets,49157097,50166126.0,VLM vs parser,
FFBL,2021,L5,current_assets,75406819,77151469.0,VLM vs parser,
FFL,2019,L3,Eq,-3677786.084,2142475.752,YoY x-1.7,
FFL,2019,L3,Eq,-3677786.084,,negative equity,
FFL,2020,L3,Eq,-3989008.502,,negative equity,
FFL,2024,L5,current_assets,9272748036,9535403093.0,VLM vs parser,
FFL,2025,L5,current_assets,11325356898,11599041071.0,VLM vs parser,
FFLM,2018,L5,total_assets,399034083,399.03,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FFLM,2019,L3,Sales,27.293,50533.823,YoY x0.0,
FFLM,2020,L3,Sales,24401.717,27.293,YoY x894.1,
FFLM,2020,L5,total_assets,377988629,377.98,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FFLM,2021,L5,total_assets,374390679,374.39,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FFLM,2022,L5,total_assets,365447637,365.45,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FFLM,2023,L5,total_assets,357480888,357.48,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FHAM,2013,L2.5,net_income,992389585.0,1310.77,summary-vs-audited,
FHAM,2018,L2.5,net_income,289560557.0,290.32,summary-vs-audited,
FHAM,2018,L2.5,total_assets,10279256656,10279.25,summary-vs-audited,
FHAM,2018,L2.5,total_liabilities,6719120428,6719.12,summary-vs-audited,
FHAM,2019,L2,cash,506.247,50624.704,prior-year overlap,
FHAM,2019,L5,cash,506247,50624704.0,VLM vs parser,
FHAM,2020,L2.5,net_income,316683071.0,316.68,summary-vs-audited,
FHAM,2020,L2.5,total_assets,9913057271.0,9913.06,summary-vs-audited,
FHAM,2021,L2.5,total_assets,12122533710,12122.53,summary-vs-audited,
FHAM,2021,L2.5,total_liabilities,8294187067,8294.19,summary-vs-audited,
FHAM,2022,L2.5,total_assets,17162817848,17162.82,summary-vs-audited,
FHAM,2022,L2.5,total_liabilities,13185802656,13185.8,summary-vs-audited,
FHAM,2023,L2.5,total_assets,20539856090.0,20539.86,summary-vs-audited,
FHAM,2024,L2.5,total_assets,26409925193,26409.93,summary-vs-audited,
FHAM,2024,L2.5,total_liabilities,21300994496,21300.99,summary-vs-audited,
FIBLM,2016,L5,cash,20702418,1.06,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2016,L5,current_assets,102964817,338.25,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2016,L5,current_liabilities,35385799,127.68,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2016,L5,total_assets,224264986,379.88,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2016,L5,total_equity,178832152,247.98,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2024,L5,cash,106248945,23.5,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2024,L5,current_assets,182533141,104.64,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2024,L5,current_liabilities,30534733,24.79,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2024,L5,total_assets,241816477,224.22,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIBLM,2024,L5,total_equity,210659944,183.96,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FIMM,2019,L5,current_liabilities,171868769,291868769.0,VLM vs parser,
FLYNG,2016,L3,Sales,2475777927.0,2222797.816,YoY x1113.8,
FLYNG,2016,L3,TA,6319573183,6101534.104,YoY x1035.7,
FLYNG,2016,L5,current_liabilities,1771924390,1790446398.0,VLM vs parser,
FLYNG,2017,L3,Sales,2470224.763,2475777927.0,YoY x0.0,
FLYNG,2017,L3,TA,7228904.794,6319573183,YoY x0.0,
FLYNG,2018,L2,total_liabilities,5842804.316,4327129.424,prior-year overlap,
FLYNG,2019,L1,Sales-COGS=GP,1741010943.0,190613022.0,,
FLYNG,2020,L2,revenue,1079508.134,1372197.678,prior-year overlap,
FML,2017,L3,Sales,935465,19664897,YoY x0.0,
FML,2018,L3,Sales,21775447,935465,YoY x23.3,
FML,2020,L5,gross_profit,7506679,17640932.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
FPJM,2023,L3,Eq,378119.156,3684.362,YoY x102.6,
FPJM,2024,L2.5,total_assets,1975578056,83974.0,summary-vs-audited,
FPJM,2025,L3,Eq,1535396.586,208002.992,YoY x7.4,
FPRM,2014,L2,total_assets,326361.847,321067.638,prior-year overlap,
FPRM,2017,L2,net_income,7180.218,16713.197,prior-year overlap,
FPRM,2017,L2,total_assets,465859.778,248541.975,prior-year overlap,
FPRM,2017,L2,total_liabilities,253252.834,121777.913,prior-year overlap,
FRCL,2021,L5,current_liabilities,710447962,870316746.0,VLM vs parser,
FRCL,2023,L3,TA,841385000.0,4043364.612,YoY x208.1,
FRCL,2024,L3,TA,4367886.99,841385000.0,YoY x0.0,
FRCL,2025,L3,TA,754525,4367886.99,YoY x0.2,
FRSM,2016,L5,current_liabilities,1337251445,1837251445.0,VLM vs parser,
FTMM,2018,L2,net_income,-296292,-357120.0,prior-year overlap,
FTMM,2020,L2,net_income,-3049219,-2984794.0,prior-year overlap,
FTMM,2020,L2,total_assets,11551426,10191016.0,prior-year overlap,
FTMM,2020,L3,Eq,-1006377,,negative equity,
FTMM,2023,L2,total_liabilities,711907,7086000.0,prior-year overlap,
FTMM,2023,L5,current_assets,2991001,6696757.0,VLM vs parser,
FTMM,2023,L5,current_liabilities,624323,6300764.0,VLM vs parser,
FTMM,2024,L2,total_liabilities,606428,7086000.0,prior-year overlap,
FTMM,2024,L5,current_assets,3107077,3107.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2024,L5,current_liabilities,535476,6874.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2024,L5,gross_profit,361580,362.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2024,L5,net_income,266389,-2985.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2024,L5,total_assets,3948163,3948.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2024,L5,total_liabilities,606428,7207.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2025,L5,current_assets,3412990,3413.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2025,L5,current_liabilities,703208,6874.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2025,L5,gross_profit,343920,344.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2025,L5,net_income,117463,-2985.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2025,L5,total_assets,3693803,3694.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTMM,2025,L5,total_liabilities,703208,7207.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
FTSM,2023,L2,net_income,354.169,354169150.0,prior-year overlap,
FTSM,2024,L3,TA,565306682.0,559131.399,YoY x1011.0,
FUDLM,2017,L2,cash,91589.475,91589475.0,prior-year overlap,
FUDLM,2017,L2,total_assets,857182.288,857182288.0,prior-year overlap,
FUDLM,2017,L2,total_equity,720788.053,720788054.0,prior-year overlap,
FUDLM,2018,L2,cash,55860.22,55860220.0,prior-year overlap,
FUDLM,2018,L2,net_income,-7232.079,-7232079.0,prior-year overlap,
FUDLM,2018,L2,total_assets,696439.298,696439298.0,prior-year overlap,
FUDLM,2018,L2,total_equity,588202.199,517388676.0,prior-year overlap,
FUDLM,2019,L2,cash,34816.921,25816921.0,prior-year overlap,
FUDLM,2019,L2,net_income,-54089.932,-54629932.0,prior-year overlap,
FUDLM,2019,L2,total_assets,493557.515,491937812.0,prior-year overlap,
FUDLM,2020,L2,cash,67000.659,67000659.0,prior-year overlap,
FUDLM,2020,L2,total_assets,532542.57,532542568.0,prior-year overlap,
FUDLM,2021,L2,cash,109771.934,109771934.0,prior-year overlap,
FUDLM,2021,L2,net_income,29649.784,29649784.0,prior-year overlap,
FUDLM,2021,L2,total_assets,795971.855,795971855.0,prior-year overlap,
FUDLM,2022,L2,cash,37227.011,37227011.0,prior-year overlap,
FUDLM,2022,L2,total_assets,607995.864,607995864.0,prior-year overlap,
FZCM,2022,L3,Eq,40529294748,34697283.259,YoY x1168.1,
FZCM,2022,L3,TA,87542902424,67124105.615,YoY x1304.2,
GADT,2018,L3,Sales,1084938.0,23248578,YoY x0.0,
GADT,2020,L5,cost_of_sales,-2674549,-26745495.0,VLM vs parser,
GADT,2021,L5,current_assets,17131011,30982746.0,VLM vs parser,
GADT,2021,L5,current_liabilities,13070918,18676805.0,VLM vs parser,
GADT,2022,L5,current_assets,25126484,43438506.0,VLM vs parser,
GADT,2022,L5,current_liabilities,17047768,23403567.0,VLM vs parser,
GADT,2023,L5,current_assets,31668602,58180749.0,VLM vs parser,
GADT,2023,L5,current_liabilities,26512147,56913889.0,VLM vs parser,
GAIL,2015,L3,Eq,367330.723,58562.339,YoY x6.3,
GAMON,2018,L5,current_liabilities,207753713,215910684.0,VLM vs parser,
GATI,2021,L2.5,revenue,16557561,12938377.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
GATM,2016,L3,Sales,32274556,32274556,exact repeat,
GATM,2016,L3,TA,32169263,32169263,exact repeat,
GATM,2021,L2,cash,673958,256610.0,prior-year overlap,
GFIL,2017,L3,Sales,4255.717,4819931.739,YoY x0.0,
GFIL,2023,L2,net_income,-451258.696,-667674.114,prior-year overlap,
GFIL,2023,L2,total_assets,2618221.875,2583742.793,prior-year overlap,
GFIL,2023,L2,total_equity,1674616.402,1458200.984,prior-year overlap,
GFIL,2024,L5,current_liabilities,490469,490469761.0,VLM vs parser,
GFIL,2025,L3,Sales,594031.456,4422588.766,YoY x0.1,
GGGL,2015,L3,Eq,490567.384,205.928,YoY x2382.2,
GGGL,2015,L3,TA,1231112.029,5952.758,YoY x206.8,
GGGL,2025,L5,current_assets,3085166223,3160166223.0,VLM vs parser,
GGL,2017,L2,revenue,1804472,2053432.0,prior-year overlap,
GGL,2018,L5,revenue,2048597,2330253.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
GGL,2020,L2,revenue,10050,11500.0,prior-year overlap,
GGL,2020,L2.5,revenue,10050,1297084.0,summary-vs-audited,
GGL,2020,L2.5,total_assets,2782822.0,2434910.0,summary-vs-audited,parser summary misaligned (known bug); audited value confirmed: VLM==parser
GGL,2023,L2,revenue,140266,166793.0,prior-year overlap,
GGL,2023,L5,current_liabilities,15661,25403.0,VLM vs parser,
GGL,2023,L5,revenue,140266,166793.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
GGL,2024,L2,revenue,170802,9355318.0,prior-year overlap,
GGL,2024,L5,revenue,170802,203951.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
GGL,2025,L3,TA,24879726,3938108.0,YoY x6.3,
GGL,2025,L5,revenue,10336896,12131472.0,VLM vs parser,
GHGL,2019,L5,current_assets,9227859516,9228.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
GHGL,2019,L5,current_liabilities,5880523758,5881.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
GHGL,2019,L5,ppe,12220358482,10999.0,VLM vs parser,
GHGL,2021,L5,current_assets,9884624328,9885.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
GHGL,2021,L5,current_liabilities,7365367935,7365.0,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
GHGL,2021,L5,ppe,15237210076,14125.0,VLM vs parser,
GHGL,2024,L3,TA,49563468.711,43.141,YoY x1148871.6,
GHNI,2013,L2,cash,1174247,40289.0,prior-year overlap,
GHNI,2013,L5,cash,1174247,40289.0,VLM vs parser,
GHNL,2015,L2,total_equity,2322406,1274111.0,prior-year overlap,
GHNL,2016,L2,total_equity,2618880,1601216.0,prior-year overlap,
GHNL,2016,L5,current_assets,1480807,1510899.0,VLM vs parser,
GHNL,2016,L5,current_liabilities,1139845,1298755.0,VLM vs parser,
GHNL,2017,L1,TA=TL+Eq,3857777,2869207,,
GHNL,2017,L5,current_assets,1151791,1371818.0,VLM vs parser,
GHNL,2019,L5,current_liabilities,606333,711304.0,VLM vs parser,
GHNL,2020,L5,current_assets,1980518,2369843.0,VLM vs parser,
GLAXO,2015,L5,current_assets,10266081,11855497.0,VLM vs parser,
GLAXO,2015,L5,current_liabilities,5442700,6403429.0,VLM vs parser,
GLAXO,2016,L5,current_assets,11452229,12267856.0,VLM vs parser,
GLAXO,2017,L5,current_assets,11701900,11855900.0,VLM vs parser,
GLAXO,2018,L5,current_assets,12074025,12228025.0,VLM vs parser,
GLAXO,2018,L5,current_liabilities,5770211,6312448.0,VLM vs parser,
GLAXO,2021,L5,current_liabilities,833041,8330419.0,VLM vs parser,
GLAXO,2022,L5,current_assets,23503252,25136435.0,VLM vs parser,
GLAXO,2023,L2,cash,3037824,3610757.0,prior-year overlap,
GRYL,2017,L2,total_assets,268485,223832.0,prior-year overlap,
GRYL,2017,L5,total_assets,268485,243381.0,VLM vs parser,
GRYL,2018,L2,total_assets,272086,234461.0,prior-year overlap,
GRYL,2018,L5,total_assets,272086,214753.0,VLM vs parser,
GRYL,2019,L2,total_assets,292494,248032.0,prior-year overlap,
GRYL,2019,L5,total_assets,292494,223832.0,VLM vs parser,
GRYL,2020,L2,total_assets,297544,268485.0,prior-year overlap,
GRYL,2020,L5,total_assets,297544,234461.0,VLM vs parser,
GRYL,2021,L2,total_assets,323491,272086.0,prior-year overlap,
GRYL,2021,L5,total_assets,323491,248032.0,VLM vs parser,
GRYL,2022,L2,total_assets,318848,292494.0,prior-year overlap,
GRYL,2022,L5,total_assets,318848,268485.0,VLM vs parser,
GRYL,2023,L5,total_assets,286101,272086.0,VLM vs parser,
GRYL,2024,L3,TA,292.494,286101,YoY x0.0,
GVGL,2024,L5,current_liabilities,1731777917,1482723540.0,VLM vs parser,
GVGL,2025,L5,current_assets,3265069135,3452672986.0,VLM vs parser,
GWLC,2017,L5,current_liabilities,4282706,4420553.0,VLM vs parser,
HAEL,2020,L1,TA=TL+Eq,407418490,585396887,,
HAFL,2025,L3,TA,657287258,605312.847,YoY x1085.9,
HAL,2013,L2,revenue,1195722.439,1241106.233,prior-year overlap,
HAL,2013,L5,current_assets,558771709,558263.0,VLM vs parser,
HAL,2013,L5,current_liabilities,83691134,83251.0,VLM vs parser,
HAL,2013,L5,revenue,1195722439,1241106233.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
HAL,2014,L5,current_assets,553053357,551689.0,VLM vs parser,
HAL,2014,L5,current_liabilities,75190084,73987.0,VLM vs parser,
HAL,2014,L5,revenue,1353714005,1403132162.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
HASCOL,2018,L2,revenue,234444131,274166545.0,prior-year overlap,
HASCOL,2018,L5,revenue,234444131,275604114.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
HASCOL,2019,L2,revenue,154874855,179922956.0,prior-year overlap,
HASCOL,2019,L3,Eq,-8913728,,negative equity,
HASCOL,2019,L3,Eq,-8913728,12484990,YoY x-0.7,
HASCOL,2019,L5,revenue,154874855,179922956.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
HASCOL,2020,L2,revenue,113917633,132903803.0,prior-year overlap,
HASCOL,2020,L3,Eq,-46525372,,negative equity,
HASCOL,2020,L5,revenue,113917633,132903803.0,VLM vs parser,VLM PL identity holds (Sales-|COGS|=GP); parser read a note/segment line
HASCOL,2023,L1,Sales-COGS=GP,4435192.0,4613765.0,,
HASCOL,2023,L3,Eq,-78984714,,negative equity,
HASCOL,2024,L3,Eq,-86416450,,negative equity,
HBL,2016,L3,TA,14206492.0,528894.0,YoY x26.9,
HBL,2017,L3,TA,2684101699.0,14206492.0,YoY x188.9,
HBL,2018,L3,TA,1733067.0,2684101699.0,YoY x0.0,
HICL,2016,L2,total_equity,1099648,1736578.0,prior-year overlap,
HICL,2016,L2,total_liabilities,1660230,1928914.0,prior-year overlap,
HICL,2022,L5,total_liabilities,3375337,3315337.0,VLM vs parser,
HINO,2020,L1,Sales-COGS=GP,-110411,-170411,,
HINO,2020,L2,ppe,5836786,2841700.0,prior-year overlap,
HINO,2020,L5,current_assets,5770771,6181.54,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HINO,2020,L5,ppe,5836786,2006.19,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HINO,2020,L5,total_assets,9456760,9456.76,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HINO,2021,L5,cost_of_sales,-8444807,-8444.81,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HINO,2021,L5,current_assets,4118170,7436.02,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HINO,2021,L5,ppe,3546025,2207.72,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HINO,2021,L5,total_assets,7752204,7752.2,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HINO,2026,L5,current_assets,8064370,8249370.0,VLM vs parser,
HINOON,2020,L2,total_assets,6430396.411,6633878.611,prior-year overlap,
HINOON,2023,L5,current_liabilities,2874893333,2999515236.0,VLM vs parser,
HINOON,2024,L3,Eq,11221165701,9596699.304,YoY x1169.3,
HINOON,2024,L3,TA,16062291695,14025831.252,YoY x1145.2,
HINOON,2024,L5,current_liabilities,3840386533,3951686381.0,VLM vs parser,
HINOON,2025,L3,Eq,13170007.814,11221165701,YoY x0.0,
HINOON,2025,L3,TA,18413194.527,16062291695,YoY x0.0,
HIRAT,2019,L3,Eq,-97438.954,,negative equity,
HIRAT,2019,L3,Eq,-97438.954,1947859.63,YoY x-0.1,
HIRAT,2021,L3,Eq,627839.525,68981.598,YoY x9.1,
HIRAT,2023,L2.5,total_assets,3101699269,3101.699,summary-vs-audited,
HIRAT,2023,L3,Eq,-296156.737,,negative equity,
HIRAT,2023,L5,current_assets,94586181,96070219.0,VLM vs parser,
HIRAT,2024,L2.5,total_assets,2947977405,2947.977,summary-vs-audited,
HIRAT,2024,L3,Eq,-577416.621,,negative equity,
HMB,2019,L5,net_income,1672039,6583481.0,VLM vs parser,
HMB,2022,L5,net_income,2604686,14260723.0,VLM vs parser,
HMB,2023,L5,net_income,4720817,24383818.0,VLM vs parser,
HMM,2018,L2,cash,33525.457,33525457.0,prior-year overlap,
HMM,2018,L2,total_assets,304989.677,304989677.0,prior-year overlap,
HMM,2019,L2,cash,32275.791,147069328.0,prior-year overlap,
HMM,2019,L2,total_assets,319418.302,319418302.0,prior-year overlap,
HMM,2020,L2,total_assets,345917.24,345917240.0,prior-year overlap,
HMM,2021,L2,total_assets,349678.977,349678977.0,prior-year overlap,
HMM,2022,L5,current_assets,167243800,207243800.0,VLM vs parser,
HRPL,2024,L5,current_liabilities,366224351,412314055.0,VLM vs parser,
HSM,2013,L2,total_equity,570079.348,77395.319,prior-year overlap,
HSM,2013,L5,total_equity,73395319,77395319.0,VLM vs parser,
HSM,2014,L2,total_equity,1428068.089,-220734.171,prior-year overlap,
HSM,2014,L5,current_assets,545496605,565696605.0,VLM vs parser,
HSM,2015,L5,current_assets,702169731,722369731.0,VLM vs parser,
HSM,2015,L5,inventory,321669,321669362.0,VLM vs parser,
HSPI,2013,L5,current_liabilities,933953,1068472.0,VLM vs parser,
HSPI,2015,L1,TA=TL+Eq,7270167,3878582,,
HSPI,2015,L5,current_liabilities,1106641,1136550.0,VLM vs parser,
HSPI,2017,L1,TA=TL+Eq,7213537,3971852,,
HSPI,2018,L5,current_liabilities,803966,819846.0,VLM vs parser,
HSPI,2019,L5,current_liabilities,842406,882458.0,VLM vs parser,
HSPI,2020,L2,revenue,341615,368540.0,prior-year overlap,
HTL,2017,L1,Sales-COGS=GP,3585175637.0,1928326662.0,,
HTL,2018,L1,Sales-COGS=GP,3585175637.0,1928326662.0,,
HTL,2018,L3,Eq,3892721.018,3892721.018,exact repeat,
HTL,2018,L3,Sales,10910427.446,10910427.446,exact repeat,
HTL,2019,L2,cash,158925.453,47315.0,prior-year overlap,
HTL,2019,L2,total_assets,6115967.112,5196156.0,prior-year overlap,
HTL,2019,L2,total_equity,3226784.479,3012660.0,prior-year overlap,
HTL,2019,L2,total_liabilities,2889182.633,2183496.0,prior-year overlap,
HTL,2019,L5,cash,158925453,132.25,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HTL,2019,L5,current_assets,3158701325,5267.160000000001,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HTL,2019,L5,current_liabilities,2859735961,2671.1099999999997,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HTL,2019,L5,inventory,801994295,1900.47,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HTL,2019,L5,total_assets,6115967112,6454.91,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HTL,2019,L5,total_equity,3226784479,3688.71,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HTL,2019,L5,total_liabilities,2889182633,2766.2,VLM vs parser,parser value is a year token / index junk; VLM audited value accepted
HTL,2020,L2,cash,124177.67,94608.0,prior-year overlap,
HTL,2020,L2,revenue,463.233,2779051.0,prior-year overlap,
HTL,2020,L2,total_assets,4993217.592,5129241.0,prior-year overlap,
HTL,2020,L2,total_equity,3157665.503,3228124.0,prior-year overlap,
HTL,2020,L2,total_liabilities,1835552.089,1901117.0,prior-year overlap,
HTL,2020,L5,cash,124177670,189405.0,VLM vs parser,
HTL,2020,L5,current_assets,1601230578,2489012.0,VLM vs parser,
HTL,2020,L5,current_liabilities,1582861940,2474610.0,VLM vs parser,
HTL,2020,L5,inventory,447435239,1252670.0,VLM vs parser,
HTL,2020,L5,total_assets,4993217592,5468285.0,VLM vs parser,
HTL,2020,L5,total_equity,3157665503,2973195.0,VLM vs parser,
HTL,2020,L5,total_liabilities,1835552089,2495090.0,VLM vs parser,
